product_id,price,zscore,categorie
6216,121.0,3.182495224103193,premium
4132,88.4,2.0102771487143416,premium
4904,137.0,3.757816978895268,premium
5025,112.0,2.8588767370326513,premium
6213,121.0,3.182495224103193,premium
4355,126.5,3.380262077312969,premium
4402,176.0,5.16016375620095,premium
5001,217.5,6.652404557692893,premium
5918,114.0,2.9307919563816607,premium
5917,122.0,3.218452833777698,premium
5007,105.0,2.607173469311119,premium
6201,105.6,2.6287480351158212,premium
6212,115.0,2.9667495660561656,premium
4115,100.0,2.427385420938595,premium
6215,115.0,2.9667495660561656,premium
4582,109.6,2.77257847381384,premium
5565,92.0,2.1397245435425583,premium
4406,157.0,4.4769691723853615,premium
6214,99.0,2.3914278112640908,premium
5612,124.8,3.3191341408663115,premium
4404,108.5,2.733025103171885,premium
4407,104.0,2.571215859636614,premium
5892,191.3,5.710315184220872,premium
4903,102.3,2.5100879231899564,premium
6126,135.0,3.6859017595462586,premium
5767,175.0,5.124206146526445,premium
6202,116.4,3.017090219600472,premium
4352,225.0,6.922086630251679,premium
5008,105.0,2.607173469311119,premium
5916,93.0,2.175682153217063,premium
